id;organization_code;business_unit;business_unit_description;business_field;business_field_description;business_line;business_line_description;workcenter;product_group;product_group_description;product_category;product_category_description;product_line;product_line_description;product_line_manager;product_division;product_category_manager;plant_category;item_type;primary_unit_of_measure;item_number;item_description;inventory_item_status_code;planning_make_or_buy_code;item_planner_code;planner_name;mrp_planning_method;inventory_planning_method;lead_time_lot_size;fixed_lead_time;fixed_order_quanitiy;fixed_lot_multiplier;current_safety_stock_quantity;demand_time_fence;demand_time_fence_days;fixed_days_supply;frozen_item_cost;frozen_material_cost;max_minmax_quantity;min_minmax_quantity;order_quantity_max;order_quantity_min;planning_time_fence_days;postprocessing_lead_time;preprocessing_lead_time;processing_lead_time;mdm_go_h_category;resource_name;usage_rate;asl_vmi_enabled;asl_consigned_from_supplier;asl_supplier;asl_supplier_number;aslsupplier_site;asl_supplier_item;aslpurchasing_uom;sl_process_code_detail;sl_effective_from_date;receipt_routing_detail;vmi_planning_party;list_price;mdm_global_id;mdm_article_number_ygart;lot_control;shelf_life_control;shelf_life_days;serial_number_control;unit_volume;volume_unit_of_measure;unit_weight;weight_unit_of_measure;units_in_a_box_package;revision_control;dimension_unit_height;dimension_unit_length;dimension_unit_width;dimension_unit_of_measure;hazardous_weight;france_abc_picking_category;mdm_temp_conditions_category;perish_code_category;un_number;hazard_class;unit_of_issue;rounding_factor;item_buyer_name;hazardous_weight_uom;gph_code;mos;lpn_package;qte_unitaire_palette;type_um;hauteur_um;longueur_um;largeur_um;qte_unitaire_carton;dimensions_uc;specifications;cadence_poste;pfse;rhenus;test_capa;abc;item_creation_date;categorie_nm
1;Sup;custome;Up-sized Bedfordshire;knowle;De-engineered;turn-;killer Buckinghamshire New York;Guade;portal ;Generic UAE Dirham Towels;Avo;Kids;fi;back up Stream;Shores;Agent part;4th generation frictionless virtual;Ag;Nuevo;ca;orchestrate;Keyboard Associate invoice;Refined ;Lock;invo;program Pizza;New Caledonia i;context-sensitiv;10516;45352;27830;content;83389;copy;13880;37090;64616;36424;41217;1639;25215;21892;11457;57114;97963;119;Personal Loa;Licensed C;71640;G;f;conglomeration Leone;Republic o;Maryland;Savings Account;Ref;SMTP;2020-04-24;GB Director;International synergistic;77109;Christmas Is;open-sourc;Avon;Checking Account;17803;Programmable methodology;62073;Chi;3393;ta;3697;Intell;95176;96643;97561;Me;Investment Account wireless forecast;Computers Fantastic Metal Chair;tan;Fresh;redund;Tugr;pa;input;generating fuchsia;hacki;open-source ;magenta;pin;9831;programmin;27017;74747;54557;88551;interfaces Outdoor;next generation mult;Baby ;monetize productize Avon;Mexican Peso Mexican Unidad de Inversion (UDI);Customiz;R;2020-04-25;XML
2;Hom;driver ;Internal incremental;24/7 B;Mobility Avon;Mouse;Keyboard indexing program;Unbra;multi-b;Orchestrator;Gra;neural leading-edge;st;Future-proofed;copy sticky;Car TCP;Plastic;me;Intui;ne;Rhode Island;AI Chief;recontex;rela;solu;bluetooth Fantastic;Steel;copying;15335;79379;75458;producti;27175;Security;78245;53486;78368;42340;906;80015;35947;98422;85342;48026;43304;81108;JBOD;HDD;91192;i;A;users port;context-se;Avon Cha;Djibouti moratorium;Hom;Uzbekistan Sum THX online;2020-04-25;Small Frozen user-facing;Fantastic e-business Configurable;23329;navigating;transmit I;mindshare white ;Computers withdrawal calcula;27818;groupware;31198;Ste;62377;ti;97168;Kenyan;48411;60485;36193;en;Bike;Tuna Bulgarian Lev Cross-group;Cre;Natio;azure ;Forw;Se;frame Tactics;Auto Loan Account modular;Villa;end-to-end n;Tenge opt;Cre;13960;Dynamic co;64256;25590;11334;19382;orchestrate Ohio;Accounts Functionali;Robus;sensor back-end empowering;Liaison portals;Future r;N;2020-04-25;Illinois relationships
3;kno;Ridges;XSS;Luxemb;Checking Account;Front;transmitting;Cambr;Awesome;connecting invoice Creative;Fro;Soft Gorgeous;de;ADP;JBOD B2B;Checking A;impactful Practical Metal Bike Berkshire;Ki;optic;In;knowledge user syn;Passage;invoice ;visi;Prin;Advanced;Steel;Supervisor laven;52048;59302;47089;Enterpri;80309;transmitting;79705;93300;28740;74;27712;29055;86955;25733;62778;21210;25087;85965;customized B;matrix;90989;F;I;Gourde US Dollar;Rwanda Fra;incentiv;Bedfordshire AGP pix;rei;deposit Glens;2020-04-24;Borders US Dollar Global;Oklahoma;72689;digital TCP;Lempira vi;Tanzanian Shilli;Salad reintermediate;13180;embrace Sleek;14142;Avo;57977;me;40330;Fiji F;51181;29576;9367;Ho;Awesome Frozen Cheese networks;invoice parse networks;Han;mesh;Chicke;Tuna;Af;Books system-worthy interface;CSS Cheese;conne;payment invo;data-ware;Man;68128;Tuna;21697;91257;86427;19677;Extension;Wooden;South;Implemented Uganda Uzbekistan Sum;European Unit of Account 9(E.U.A.-9) Rustic channels;program;L;2020-04-25;pixel Toys black
4;rel;eco-cen;Route HTTP;SSL;program Metrics Swedish Krona;PNG C;Home Loan Account;white;Assista;Avon;sol;incentivize Lead interfaces;sc;pixel Intelligent Wooden Ball;Music optical Industrial;deposit Ke;Fantastic Shoes;Ne;inter;mo;Licensed Fresh Tab;high-level schemas Handmade Cotton Shoes;circuit ;lave;comp;Tuna innovate Indiana;XML;whiteboard;26932;1273;30433;parsing ;66780;mission-crit;81109;84527;20284;82349;25124;11832;29158;41775;34133;70964;74783;1724;platforms Ex;SMS Compat;49627;c;r;Checking Account Home Loan Account;Branding;auxiliar;Ergonomic Small Cott;Cus;Pre-emptive Intranet Buck;2020-04-24;revolutionize;Integration Seychelles Rupee Pizza;1283;Granite Stre;Checking A;deliver;Avon bypassing;35130;transmitter superstructure;63924;Swe;8322;Je;74081;Config;77065;65392;49723;re;Polarised application Tuna;Tuna Granite;cir;Futur;Rustic;New ;Ce;web-readiness Legacy;Refined Metal Chicken interface Iceland ;world;synthesizing;Martiniqu;Too;21517;program;43568;21492;17041;58767;Ball;Jewelery;bluet;array;grey platforms optimize;haptic U;T;2020-04-24;Organized system Sleek Cotton 
5;mob;generat;Creative Streets Pennsylvania;Pennsy;PCI reintermediate firmware;compr;Iraq;archi;Rustic ;Music deposit interface;For;Ethiopian Birr Home Loan Account;Li;Jamaican Dollar;toolset SSL;Refined Ex;exploit;Me;trans;Ph;Liaison payment;intermediate Shores alarm;back-end;invo;Comp;Bahraini Dinar;EXE hacking;6th generation c;79010;58466;50731;New York;37648;local area n;56172;35585;60714;28542;82854;58644;88583;55247;21108;11148;36007;89151;Missouri;blue globa;24207;H;i;forecast District;Central;Division;bluetooth Cambridges;pur;SCSI Maryland;2020-04-24;Antarctica (the territory;California;42170;granular;Boliviano ;Global;moderator;63637;bandwidth Soft;50431;Han;41870;24;94367;Shoes;49232;4497;17833;op;embrace;compress Principal;cop;cross;Music;seam;Si;productize teal;Intelligent Plastic Shirt system-worthy;calcu;Home Loan Ac;HDD deman;Poi;28080;Savings Ac;32693;87040;67139;32041;Specialist Qatari ;composite back-end;Desig;Auto Loan Account Pula Senior;Puerto Rico quantify auxiliary;Unbrande;i;2020-04-24;pink
6;Pat;Ball sy;Arkansas;withdr;Bedfordshire Configuration;Princ;yellow;logis;intuiti;Legacy Indiana;Key;Licensed encoding;Ou;Borders 5th generation;Infrastructure;Right-size;Bike 1080p;in;quant;Sl;Refined;Lempira Square Configuration;bypass i;radi;invo;Cloned Developer;program Keyboar;Credit Card Acco;71198;15669;42014;Swiss Fr;75931;maroon Manor;2920;53077;34772;55797;35816;5361;22599;30874;7666;72139;70520;58431;digital pars;Russian Ru;45244;F;P;Wooden French Guiana;Botswana J;Auto Loa;granular Colombia;eye;District asynchronous Per;2020-04-25;overriding Portugal;Granite Kuwait;31411;Industrial;content Re;morph Customizab;initiative Intelligent;47071;executive;43236;Mon;48039;Pa;85645;iterat;88785;59216;13358;op;access;Concrete Armenia Granite;Pan;info-;Kansas;impa;Au;Research Investment Account Swaziland;Seamless;Optio;PNG synthesi;Secured t;pro;86350;hack Outdo;70814;36254;5447;14278;Enhanced circuit;Incredible Developer;Movie;Response South Dakota reboot;Soft Berkshire Dong;optical;G;2020-04-25;Locks generate
7;con;experie;Gorgeous Soft Tuna Representative;Beauty;Toys;Stree;SMS deposit;open ;Ergonom;Iceland array;gol;Central overriding;Sa;static innovative monitor;Small intuitive bypass;deposit Gr;Dynamic AI Shoes;Ga;aggre;Te;Pound Sterling Cre;synthesizing Personal Loan Account;Manor;Fres;purp;plum Avon;out-of-the-box ;wireless Planner;7337;34945;18596;programm;8658;program;88262;34379;88965;21866;35820;5286;79799;7973;11983;88319;4228;71202;portal;Awesome Sl;70777;c;B;bypassing;Square;Silver N;Cheese;Lea;Lead best-of-breed naviga;2020-04-24;hack input;Fantastic Fresh Car;94912;online 24 ho;Innovative;Planner;Arizona Universal;32720;Personal Loan Account turquoise;67462;pro;22954;on;79572;Money ;8178;94571;79917;Ha;Soap;firewall Cambridgeshire;Fre;drive;Berksh;Nort;su;Rubber;Tools;trans;Manager;compressi;Pla;31253;strategize;1616;66536;15645;45570;monitor neutral In;multi-tasking;Froze;Total virtual;Practical Borders Intelligent;magnetic;C;2020-04-25;Clothing Creative quantifying
8;web;South C;Parks;Repres;firewall Gorgeous;Inter;human-resource connecting;Lari ;Latvian;Towels;dep;ivory Denar;Va;Borders Manager transmitting;stable optical invoice;card e-ser;parse District;e-;Check;vi;Florida Run;Officer Grocery bypass;Colombia;regi;ADP ;synergy projection;digital;blue;74091;12133;44687;Avon Qua;93322;Incredible W;15422;96949;70944;30095;10848;77845;2449;85204;21379;72558;18307;3221;concept Baha;Brazilian ;96575;w;C;Salad parsing Rubber;Connecticu;robust s;Principal;Tas;architect global orchid;2020-04-25;Central deliverables Stan;Awesome Concrete Gloves SMS;54587;navigating;Liaison;Garden technolog;invoice array driver;19728;Garden Consultant;59675;pur;78373;Ex;90290;driver;37202;74178;62880;ma;interactive Benin;Israel Team-oriented;Opt;mobil;seize ;Wall;Su;Saudi Arabia Jewelery reintermediate;content input;Check;Research Leg;Ergonomic;Uta;38318;viral Cred;98834;32694;38132;31374;Engineer;azure;group;modular efficient Table;back-end;Sausages;P;2020-04-25;copying
9;app;Legacy ;Aruba radical;Haven;Ergonomic unleash;Small;Checking Account;hapti;Investm;system Functionality Rustic;Ten;e-commerce Plastic JBOD;IB;adapter;morph calculate Multi-layered;black gene;Shoes portals;he;Rupia;Sm;workforce Checking;infomediaries Illinois;copy Per;scal;work;Checking Account migration Mandatory;Refined Wooden ;intuitive defini;9856;21196;99927;Grocery ;44938;synergy;67411;83490;48277;67199;1555;2568;89246;8468;98551;74517;19861;21069;cyan;back-end A;23428;T;e;invoice;system Sav;Surinam ;PCI;agg;purple Outdoors efficient;2020-04-25;Checking Account;Liaison Handmade Movies;21622;Integration;Mouse Pola;Sudan Chicken ov;back-end turquoise;16150;extend local RSS;42547;Cay;51814;Gl;91170;Web Mi;53262;10740;83845;mo;Computer utilize;Brand;Dyn;wirel;mobile;PNG ;Da;haptic;B2C;Futur;24/365;Investmen;Hum;92048;Metical si;86403;20987;68943;12228;Botswana Checking ;Mandatory;deliv;Moldovan Leu;payment;Andorra ;r;2020-04-25;Incredible
10;Foc;Street;New Hampshire;method;Spring Awesome Oregon;invoi;revolutionary Bedfordshire Towels;appro;microch;Guyana Gloves;tur;Baby Personal Loan Account programming;In;Personal Loan Account AGP mesh;dynamic virtual;Tennessee ;compressing programming;Co;syste;Fo;Innovative synthes;implement Integrated;logistic;inde;Rubb;Product;Junction Soft S;interface;64402;90306;24036;Saint Ki;70135;neural;96440;70362;87695;83070;2480;35964;84022;47128;44267;82452;61083;28093;client-serve;Ball Plast;40643;c;R;target;Savings Ac;Burundi ;Moroccan Dirham;Mon;Refined Rubber Bacon conc;2020-04-24;overriding Direct;Specialist Iowa;65208;local Nebras;Nepal eyeb;users payment Ch;neural;41760;auxiliary green;70953;Reg;2365;au;36633;Canada;37748;23256;74109;An;Assistant;innovative Wooden;Sma;Garde;online;cros;Di;TCP Fish transmitter;transmitting Movies;Incre;bandwidth 24;open arch;dep;56116;Libyan Ara;1256;72026;37702;97511;array Optimized Ce;Ranch aggregate;Handm;GB;Balboa US Dollar withdrawal eyeballs;Assistan;a;2020-04-24;synthesize
