id;date_mvt;code_mvt;item_number;magasin;emplacement;qte;num_ordre;num_ligne_ordre;lot_number
1;2020-04-24;ind;Avon Decentralized;deploy Bypass real-t;Car Engineer;51287;Granite onli;acti;transmitting
2;2020-04-24;ROI;orange;Kids Integration;open-source solution;1178;embrace;plug;Berkshire
3;2020-04-24;har;Automotive bluetoo;Accountability drive;systemic;45415;California;Opti;Security
4;2020-04-24;Sec;Concrete Beauty Ga;Virgin Islands, U.S.;Soft seize;49683;Flats action;Ergo;Brand driver
5;2020-04-25;pix;override;Sports Ameliorated;West Virginia;12570;Alabama user;Oreg;lavender
6;2020-04-25;Haw;copy;Florida Course;transitional;86143;Granite;Rust;Garden brand
7;2020-04-24;con;bypassing Generic;Club Chief;communities overridi;28475;Licensed Con;Hill;Directives R
8;2020-04-24;dep;compress Pennsylva;Tuna Jewelery;reboot value-added d;44260;Future-proof;Offi;mint green H
9;2020-04-25;lev;invoice;Accountability bandw;array Kids;73058;IB;ROI ;Fantastic Ar
10;2020-04-25;Des;Utah disintermedia;paradigm;Branding Accounts po;87190;feed;Fres;Markets Tech
